title,price,liter,fuel_type,year,transmission,city
Audi A4,3450,2.0,Diesel,2006,Automatic,Marijampole
Opel Zafira,3750,1.6,Gasoline,2009,Mechanical,Marijampole
Opel Meriva,1950,1.8,Gasoline,2004,Automatic,Klaipeda
Audi A6,3050,3.0,Diesel,2006,Automatic,Siauliai
Volkswagen Phaeton,2790,3.2,Petrol / Gas,2003,Automatic,Kaunas
Opel Frontera A,1800,2.0,Petrol / Gas,1993,Mechanical,Pasvalys
Volkswagen Golf,3150,1.9,Diesel,2008,Mechanical,Vilnius
Audi A3,3250,2.0,Diesel,2006,Mechanical,Vilnius
Chevrolet Cruze,3499,2.0,Diesel,2011,Mechanical,Vilnius
Saab 9-3 II,3599,1.9,Diesel,2008,Mechanical,Kaunas
Audi 80,950,1.8,Gasoline,1988,Automatic,Siauliai
BMW X5,10999,3.0,Diesel,2007,Automatic,Vilnius
Seat Altea XL,1950,1.6,Petrol / Gas,2006,Mechanical,Vilnius
Audi A6,2999,2.7,Diesel,2007,Automatic,Panevezys
Volkswagen Passat,3850,2.0,Diesel,2008,Mechanical,Kaunas
Mercedes-Benz E 220 W211,4000,2.2,Diesel,2008,Automatic,Klaipeda
Opel Zafira,4400,1.6,Gasoline,2011,Mechanical,Utena
Toyota Auris I,5000,2.0,Diesel,2011,Mechanical,Kaunas
Nissan Navara,6550,2.5,Diesel,2007,Mechanical,Siauliai
Skoda Octavia,7450,1.6,Diesel,2014,Mechanical,Vilnius
BMW 420,17500,2.0,Diesel,2014,Automatic,Vilnius
Ford Mondeo,450,2.0,Diesel,2003,Mechanical,Kaunas
Volkswagen Passat,780,1.9,Diesel,1999,Mechanical,Vilnius
Opel Zafira,880,2.0,Diesel,2003,Mechanical,Kaunas
Peugeot 307,1100,1.6,Diesel,2004,Mechanical,Panevezys
Fiat Ducato,1150,2.8,Diesel,2005,Mechanical,Siauliai
Ford Focus C-Max,1190,1.6,Diesel,2004,Mechanical,Kaunas
Jaguar X-Type,1199,2.0,Diesel,2006,Mechanical,Talinas
Volkswagen Sharan,1250,1.9,Diesel,2002,Mechanical,Vilnius
Peugeot 307,1299,2.0,Diesel,2007,Automatic,Talinas
Peugeot Partner,1599,1.6,Diesel,2009,Mechanical,Talinas
Opel Vectra C,1600,1.9,Diesel,2007,Automatic,Taurage
Audi A3 8P,1600,2.0,Diesel,2004,Mechanical,Kaunas
Suzuki Ignis,1650,1.3,Diesel,2005,Mechanical,Jonava
Chrysler Pacifica,1699,4.0,Gasoline,2007,Automatic,Talinas
Honda Civic,1799,1.8,Gasoline,2008,Mechanical,Talinas
Volkswagen Touran,1799,1.6,Gasoline,2004,Mechanical,Talinas
Toyota Avensis,1799,2.0,Diesel,2004,Mechanical,Talinas
Opel Vectra,1850,1.9,Diesel,2007,Mechanical,Kaunas
Audi A6,1999,2.0,Gasoline,2007,Automatic,Talinas
Audi 100,2050,2.3,Petrol / Gas,1988,Mechanical,Siauliai
Audi A3,2099,1.6,Gasoline,2005,Automatic,Talinas
Audi A4 B7,2200,2.0,Diesel,2005,Mechanical,Vilnius
Opel Zafira B,2250,1.9,Diesel,2007,Mechanical,Utena
Nissan Terrano,2300,2.7,Diesel,1996,Mechanical,Jurbarkas
Honda Civic,2499,1.3,N/A,2008,Automatic,Talinas
Toyota Corolla,2499,1.6,Gasoline,2006,Mechanical,Talinas
BMW 530,2499,2.9,Diesel,2002,Automatic,Talinas
Audi A6,2599,2.5,Diesel,2001,Mechanical,Talinas
Opel Zafira B,2650,1.7,Diesel,2010,Mechanical,Moletai
Audi A3,2799,2.0,Gasoline,2004,Mechanical,Radviliskis
Audi A4 B7,2990,2.7,Diesel,2006,Mechanical,Kaunas
Toyota iQ,2999,1.0,Gasoline,2010,Automatic,Talinas
Ssangyong Actyon,3000,2.0,Diesel,2008,Mechanical,Jurbarkas
Audi A6,3500,3.0,Diesel,2006,Automatic,Vilnius
Volkswagen Passat,3750,2.0,Gasoline,2007,Automatic,Kaunas
BMW X5,3799,3.0,Diesel,2006,Automatic,Talinas
Opel Astra III,3850,1.7,Diesel,2011,Mechanical,Kaunas
Audi A6 Allroad,3999,3.0,Diesel,2006,Automatic,Talinas
Audi A6 Allroad,3999,2.7,Diesel,2007,Automatic,Talinas
Kia Sorento,4499,2.5,Diesel,2007,Automatic,Talinas
BMW 320 E90,4750,2.0,Diesel,2008,Mechanical,Utena
Audi A6,5450,3.0,Diesel,2008,Automatic,Marijampole
Nissan Navara,5500,2.5,Diesel,2005,Mechanical,Jurbarkas
Ford Kuga,5800,2.0,Diesel,2010,Mechanical,Radviliskis
Volvo V60,6499,2.0,Diesel,2013,Automatic,Talinas
Mitsubishi L200,6700,2.5,Diesel,2006,Mechanical,Jurbarkas
BMW 530 E60,6999,3.0,Diesel,2007,Automatic,Alytus
Ford Mustang,7200,4.0,Gasoline,2005,Automatic,Siauliai
Lexus RX 400h,7650,3.3,N/A,2006,Automatic,Vilnius
Mercedes-Benz S 320,8700,3.0,Diesel,2008,Automatic,Radviliskis
Audi S8,8700,5.2,Gasoline,2009,Automatic,Radviliskis
Volkswagen Sharan,9000,2.0,Diesel,2014,Automatic,Kaunas
BMW 730,12200,3.0,Diesel,2010,Automatic,Radviliskis
Audi A3,13600,2.0,Diesel,2017,Automatic,Taurage
Maserati Ghibli,22900,3.0,Diesel,2014,Automatic,Vilnius
Audi A4 B5,650,1.8,Petrol / Gas,2000,Mechanical,Silute
Opel Zafira,650,2.2,Diesel,2003,Mechanical,Kaunas
Volkswagen Passat B5,650,1.9,Diesel,1999,Mechanical,Kaunas
Peugeot 307 I,670,2.0,Diesel,2004,Mechanical,Vilnius
Seat Alhambra,750,1.9,Diesel,2001,Mechanical,Ukmerge
Opel Zafira A,850,2.0,Diesel,2002,Mechanical,Vilnius
Citroen Berlingo,990,1.6,Diesel,2006,Mechanical,Kaunas
Opel Astra,1299,2.0,Diesel,2003,Mechanical,Kaunas
Opel Astra,1300,1.6,Gasoline,2003,Automatic,Vilnius
Lexus IS 200,1350,2.0,Petrol / Gas,1999,Automatic,Vilnius
Volkswagen Passat B5 FL,1450,2.5,Diesel,2003,Automatic,Vilnius
Audi A4,1800,1.9,Diesel,2004,Mechanical,Vilnius
Audi A3,1800,1.6,Gasoline,2001,Mechanical,Vilnius
Opel Zafira B,1900,1.9,Diesel,2008,Automatic,Vilnius
Toyota Avensis,1950,2.2,Diesel,2005,Mechanical,Vilnius
Audi A4 B5,1999,1.9,Diesel,2001,Mechanical,Alytus
Opel Movano,1999,2.8,Diesel,2000,Mechanical,Vilnius
Audi A4 B6,2200,1.9,Diesel,2004,Mechanical,Marijampole
BMW 530 E60,2550,3.0,Diesel,2004,Mechanical,Kaunas
Volkswagen Golf V,2550,2.0,Diesel,2005,Mechanical,Kaunas
Audi A4 B7,3150,2.0,Diesel,2007,Mechanical,Prienai
Audi A4 B5,3399,1.9,Diesel,2001,Mechanical,Alytus
Audi A3,3500,2.0,Diesel,2005,Mechanical,Vilnius
Audi A3,3500,2.0,Diesel,2005,Automatic,Vilnius
BMW 320 E90,3550,2.0,Diesel,2006,Mechanical,Siauliai
Audi A6 C6,3600,3.0,Diesel,2006,Automatic,Siauliai
Hyundai Tucson,3600,2.0,Diesel,2005,Mechanical,Visaginas
Volvo XC70,3650,2.4,Diesel,2005,Automatic,Vilnius
Seat Leon II,3650,2.0,Diesel,2009,Mechanical,Kaunas
