title,price,liter,fuel_type,year,transmission,city
BMW 520 E60,6 950 €,2.0,Diesel,2007,Mechanical,Alytus
BMW 520,9 500 €,2.0,Diesel,2010,Automatic,Kaunas
BMW 520,14 200 €,2.0,Diesel,2015,Automatic,Alytus
BMW 520 E60,2 700 €,2.2,Gasoline,2005,Mechanical,Kaunas
BMW 520,4 450 €,2.0,Diesel,2008,Mechanical,Kaunas
BMW 520 F10,9 990 €,2.0,Diesel,2011,Mechanical,Kupiskis
BMW 520,22 999 €,2.0,Diesel,2018,Automatic,Kaunas
BMW 520 E39,950 €,2.0,Diesel,2001,Mechanical,Vilnius
BMW 520,12 250 €,2.0,Diesel,2012,Automatic,Radviliskis
BMW 520 E39,100 € + taxes,2.0,Petrol / Gas,1998,Automatic,Kaunas
BMW 520 E39,550 €,2.0,Petrol / Gas,1999,Mechanical,Jonava
BMW 520,600 €,2.0,Diesel,2003,Mechanical,Vilnius
BMW 520 E39,900 €,2.0,Gasoline,1999,Mechanical,Mazeikiai
BMW 520 E39,1 100 €,2.0,Gasoline,1999,Automatic,Silute
BMW 520,1 150 €,2.0,Gasoline,1999,Automatic,Alytus
BMW 520,1 199 €,2.0,Gasoline,1998,Mechanical,Talinas
BMW 520 E39,1 200 €,2.2,Gasoline,2000,Mechanical,Vilnius
BMW 520,1 400 €,2.2,Petrol / Gas,2001,Mechanical,Vilnius
BMW 520 E34,1 750 €,2.0,Petrol / Gas,1990,Mechanical,Klaipeda
BMW 520,1 999 €,2.2,Gasoline,2002,Mechanical,Radviliskis
BMW 520 E60,2 000 €,2.2,Gasoline,2003,Automatic,Birzai
BMW 520,2 199 €,2.2,Gasoline,2001,Automatic,Talinas
BMW 520,2 200 €,2.0,Diesel,2007,Automatic,Joniskis
BMW 520,2 250 € + taxes,2.0,Diesel,2008,Mechanical,Silute
BMW 520,2 499 €,2.0,Diesel,2003,Mechanical,Talinas
BMW 520 E60,2 500 €,2.2,Gasoline,2003,Automatic,Kaunas
BMW 520 E60,2 550 €,2.0,Diesel,2005,Mechanical,Klaipeda
BMW 520 E60,2 550 €,2.0,Diesel,2005,Mechanical,Silute
BMW 520 E60,2 650 €,2.0,Diesel,2006,Mechanical,Siauliai
BMW 520,3 300 €,2.0,Diesel,2007,Automatic,Kaunas
BMW 520 E60,3 400 €,2.2,Petrol / Gas,2004,Mechanical,Vilnius
BMW 520,3 500 €,2.0,Diesel,2008,Mechanical,Kaunas
BMW 520,3 650 €,2.0,Diesel,2008,Mechanical,Radviliskis
BMW 520,3 980 €,2.0,Diesel,2006,Mechanical,Klaipeda
BMW 520,4 000 €,2.0,Gasoline,1997,Automatic,Kaunas
BMW 520,4 100 €,2.0,Diesel,2008,Automatic,Kelme
BMW 520,4 200 €,2.0,Gasoline,1984,Mechanical,Alytus
BMW 520,4 400 €,2.0,Diesel,2007,Mechanical,Vilkaviskis
BMW 520 E60,4 700 €,2.0,Diesel,2006,Mechanical,Klaipeda
BMW 520,4 900 €,2.0,Diesel,2009,Mechanical,Taurage
BMW 520 E60,4 990 €,2.0,Diesel,2006,Mechanical,Alytus
BMW 520,5 000 €,2.0,Diesel,2007,Automatic,Rokiskis
BMW 520,5 299 €,2.0,Gasoline,2008,Mechanical,Kedainiai
BMW 520 E60,5 400 €,2.0,Diesel,2008,Automatic,Kedainiai
BMW 520 E60,5 500 €,2.0,Diesel,2007,Automatic,Kaunas
BMW 520 E60,5 599 €,2.0,Diesel,2010,Mechanical,Kedainiai
BMW 520 E60,5 600 € + taxes,2.0,Diesel,2008,Automatic,Birstonas
BMW 520,5 800 €,2.0,Diesel,2008,Automatic,Kelme
BMW 520,6 000 €,3 0,Diesel,2007,Automatic,Vilnius
BMW 520,6 199 €,2.0,Diesel,2008,Mechanical,Kretinga
BMW 520 E60,6 400 €,2.0,Diesel,2009,Mechanical,Taurage
